Title,Year,Genre,Rating,Director,Cast,Votes,Description
"Love, Rosie",2012,"Comedy, Romance",7.1,Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone",155895,"Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies."
Lincoln,2012,"Biography, Drama, History",7.3,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",272915,"As the Civil War rages on, U.S President Abraham Lincoln struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on his decision to emancipate the slaves."
Mona Lisa Smile,2012,Drama,6.5,Mike Newell,"Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal",91141,A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.
Hairspray,2012,"Comedy, Drama, Musical",6.7,Adam Shankman,"John Travolta, Queen Latifah, Nikki Blonsky, Michelle Pfeiffer",138844,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
47 Ronin,2012,"Action, Drama, Fantasy",6.2,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Kô Shibasaki, Tadanobu Asano",171397,A band of samurai sets out to avenge the death and dishonor of their master at the hands of a ruthless shogun.
Robots,2012,"Animation, Adventure, Comedy",6.4,Chris Wedge,"Carlos Saldanha, Ewan McGregor, Halle Berry, Mel Brooks, Robin Williams",162254,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
"I, Robot",2012,"Action, Mystery, Sci-Fi",7.1,Alex Proyas,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk",576425,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
Tillu Square,2012,"Comedy, Crime, Drama",6.8,Mallik Ram,"Anupama Parameswaran, Sidhu Jonnalagadda, Neha Shetty, Murli Sharma",2117,"Follow Tillu as his life is upended by a mysterious murder, plunging him into a perilous journey of discovery and danger."
Street Kings,2012,"Action, Crime, Thriller",6.8,David Ayer,"Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans",120975,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself."
Security,2012,"Action, Crime, Thriller",5.7,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre, Cung Le",21941,A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.
Trainwreck,2012,"Comedy, Drama, Romance",6.2,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",142926,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
Geostorm,2012,"Action, Sci-Fi, Thriller",5.3,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",118784,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone."
